,keff,keff_err,p
0,0.998776,4.29946e-05,-0.411
1,0.999991,4.2839e-05,0.099
2,0.998646,4.27512e-05,-0.457
3,0.999075,4.33769e-05,-0.265
4,1.00048,4.26709e-05,0.319
5,1.00012,4.26684e-05,0.134
6,1.00074,4.18195e-05,0.469
7,1.00069,4.29356e-05,0.447
8,0.999087,4.26576e-05,-0.319
9,0.999739,4.25455e-05,-0.027
10,1.00077,4.25976e-05,0.481
11,0.999398,4.22009e-05,-0.139
12,1.00019,4.2875e-05,0.196
13,1.00022,4.29803e-05,0.195
14,0.999727,4.35131e-05,-0.041
15,0.998582,4.26816e-05,-0.484
16,0.999936,4.31769e-05,0.011
17,0.999922,4.28617e-05,0.041
18,1.00006,4.35288e-05,0.117
19,1.00064,4.33821e-05,0.456
20,0.998926,4.29899e-05,-0.374
21,0.998559,4.26863e-05,-0.459
22,0.999438,4.28171e-05,-0.178
23,1.00072,4.29374e-05,0.439
24,0.99928,4.34138e-05,-0.238
25,0.999041,4.31768e-05,-0.335
26,1.00071,4.24557e-05,0.478
27,0.999923,4.26564e-05,0.065
28,0.999229,4.29021e-05,-0.236
29,1.00061,4.28263e-05,0.4
30,1.00061,4.27196e-05,0.38
31,1.00024,4.28352e-05,0.205
32,0.999715,4.32685e-05,-0.035
33,1.0001,4.32831e-05,0.154
34,1.00044,4.36875e-05,0.351
35,0.999864,4.26898e-05,0.017
36,0.998852,4.3509e-05,-0.384
37,0.999122,4.35827e-05,-0.249
38,0.999038,4.31359e-05,-0.326
39,0.998835,4.24185e-05,-0.389
40,0.999963,4.33301e-05,0.07
41,1.00023,4.26072e-05,0.185
42,0.999474,4.35621e-05,-0.153
43,1.00063,4.28691e-05,0.42
44,1.00004,4.31542e-05,0.155
45,1.00021,4.26079e-05,0.189
46,0.999757,4.282e-05,-0.019
47,0.999896,4.23544e-05,0.034
48,0.99966,4.26129e-05,-0.081
49,0.998694,4.28641e-05,-0.431
50,0.998985,4.25182e-05,-0.336
51,0.999735,4.33157e-05,-0.02
52,0.998846,4.25932e-05,-0.372
53,1.00076,4.3333e-05,0.5
54,1.00034,4.35413e-05,0.266
55,1.00035,4.27034e-05,0.289
56,0.999443,4.28911e-05,-0.172
57,1.0006,4.32654e-05,0.366
58,1.00016,4.29964e-05,0.206
59,0.99988,4.31794e-05,0.025
60,1.00034,4.2406e-05,0.19
61,0.999152,4.34084e-05,-0.245
62,0.998822,4.25827e-05,-0.396
63,1.00001,4.30399e-05,0.092
64,0.99982,4.36722e-05,0.023
65,1.00022,4.25969e-05,0.187
66,0.999262,4.28532e-05,-0.222
67,0.999062,4.20674e-05,-0.328
68,1.00027,4.35373e-05,0.203
69,0.999336,4.33318e-05,-0.224
70,0.998607,4.32548e-05,-0.469
71,1.00005,4.32983e-05,0.096
72,0.998566,4.30332e-05,-0.478
73,0.999286,4.25745e-05,-0.225
74,0.999481,4.29259e-05,-0.132
75,1.00002,4.33119e-05,0.138
76,1.00008,4.28749e-05,0.151
77,0.999381,4.22831e-05,-0.142
78,1.00053,4.30968e-05,0.37
79,0.998832,4.29232e-05,-0.399
80,0.999735,4.30008e-05,-0.038
81,0.999925,4.30885e-05,0.066
82,1.00019,4.23889e-05,0.224
83,0.999022,4.17477e-05,-0.324
84,0.999817,4.29407e-05,0.01
85,0.999681,4.28784e-05,-0.065
86,0.999068,4.2447e-05,-0.315
87,0.999697,4.28489e-05,-0.033
88,0.999228,4.38464e-05,-0.251
89,0.998969,4.17393e-05,-0.331
90,0.999817,4.26588e-05,0.03
91,0.998895,4.3154e-05,-0.404
92,0.999611,4.31154e-05,-0.07
93,0.999439,4.32102e-05,-0.2
94,0.999906,4.36328e-05,0.044
95,0.999422,4.27517e-05,-0.163
96,0.999182,4.31787e-05,-0.272
97,0.999216,4.26185e-05,-0.25
98,0.999086,4.27614e-05,-0.302
99,1.00009,4.30411e-05,0.165
100,1.00032,4.25861e-05,0.275
101,0.999584,4.23635e-05,-0.096
102,0.999938,4.37746e-05,0.1
103,1.00002,4.23379e-05,0.133
104,0.998847,4.2599e-05,-0.409
105,0.999912,4.23707e-05,0.046
106,1.00029,4.26501e-05,0.239
107,1.00033,4.24247e-05,0.248
108,0.999499,4.24228e-05,-0.12
109,0.999061,4.27643e-05,-0.304
110,0.999431,4.31711e-05,-0.115
111,1.00047,4.3903e-05,0.337
112,1.00003,4.33356e-05,0.113
113,0.999276,4.30519e-05,-0.235
114,0.998808,4.25836e-05,-0.38
115,0.999451,4.23775e-05,-0.176
116,0.99958,4.29474e-05,-0.127
117,1.00065,4.29985e-05,0.443
118,0.999547,4.21534e-05,-0.123
119,1.00011,4.32633e-05,0.162
120,1.0005,4.32764e-05,0.372
121,1.00047,4.32469e-05,0.33
122,0.999619,4.17225e-05,-0.077
123,1.00057,4.26472e-05,0.363
124,0.998988,4.27121e-05,-0.348
125,0.998693,4.29642e-05,-0.472
126,0.999265,4.29446e-05,-0.219
127,0.998572,4.25276e-05,-0.495
128,1.00031,4.26919e-05,0.251
129,0.999632,4.2898e-05,-0.083
130,0.999807,4.32369e-05,0.001
